question_id,set,difficulty,time_limit_ms,mode,instruction_en,instruction_hi,option_1,option_2,option_3,correct_positions,category,trap,twist_eligible,points
Q000001,daily-001,1,4000,go,TAP TRACTOR,TRACTOR पर टैप करें,TRACTOR,DAL,BANANA,1,mixed,,no,10
Q000002,daily-001,1,4000,rule,TAP THE SMALLEST NUMBER,सबसे छोटी संख्या पर टैप करें,82,25,9,3,smallest,,no,12
Q000003,daily-001,2,3200,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,LEFT,RIGHT,MIDDLE,1,position,,yes,14
Q000004,daily-001,2,3200,hold,DON'T TAP IF YOU SEE EYE,अगर EYE दिखे तो टैप न करें,DHOTI,EYE,ELBOW,,mixed,no_go,no,17
Q000005,daily-001,2,3200,rule,TAP THE FRUIT,फल पर टैप करें,CHIKOO,BENGALURU,BAISAKHI,1,fruit,,no,14
Q000006,daily-001,3,2600,rule,TAP THE BIGGEST NUMBER,सबसे बड़ी संख्या पर टैप करें,84,3,74,1,biggest,,no,16
Q000007,daily-001,3,2600,rule,TAP THE BIGGEST NUMBER,सबसे बड़ी संख्या पर टैप करें,5,34,51,3,biggest,,no,16
Q000008,daily-001,3,2600,hold,DON'T TAP IF YOU SEE SUNNY,अगर SUNNY दिखे तो टैप न करें,PONGAL,MONKEY,NOON,"1,2,3",mixed,,no,20
Q000009,daily-001,3,2600,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,8,63,3,1,even,,no,16
Q000010,daily-001,4,2100,go,TAP DRIVER,DRIVER पर टैप करें,SUN,COOK,DRIVER,3,mixed,,yes,15
Q000011,daily-001,4,2100,go,TAP CHAIR,CHAIR पर टैप करें,CHAIR,RISE,RICE,1,mixed,lookalike,yes,15
Q000012,daily-001,4,2100,go,TAP CAMEL,CAMEL पर टैप करें,OVAL,MANGO,CAMEL,3,mixed,,yes,15
Q000013,daily-001,4,2100,go,TAP CAT,CAT पर टैप करें,CAT,FLUTE,CAP,1,mixed,lookalike,yes,15
Q000014,daily-001,4,2100,except,TAP BOTH EXCEPT DHOL,DHOL छोड़कर बाकी दोनों पर टैप करें,DHOL,CYCLE,WEAVER,"2,3",mixed,,no,23
Q000015,daily-001,5,1700,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,LEFT,MIDDLE,RIGHT,3,position,,yes,21
Q000016,daily-001,5,1700,go,TAP DELHI,DELHI पर टैप करें,MOON,DELHI,UPMA,2,mixed,,yes,18
Q000017,daily-001,5,1700,rule,TAP THE CITY,शहर पर टैप करें,OVER,ORANGE,JAIPUR,3,city,,yes,21
Q000018,daily-001,5,1700,except,TAP BOTH EXCEPT SURAT,SURAT छोड़कर बाकी दोनों पर टैप करें,HALWA,SURAT,PINK,"1,3",mixed,,no,26
Q000019,daily-001,5,1700,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,LEFT,RIGHT,MIDDLE,1,position,,yes,21
Q000020,daily-001,5,1700,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,MIDDLE,LEFT,RIGHT,1,position,slot_conflict,yes,21
